REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,"1999/08/01 00:30",1499.045,35.37,TRADE
SA1,"1999/08/01 01:00",1541.01167,35.37,TRADE
SA1,"1999/08/01 01:30",1460.28167,35.37,TRADE
SA1,"1999/08/01 02:00",1353.32167,35.37,TRADE
SA1,"1999/08/01 02:30",1261.785,114.2,TRADE
SA1,"1999/08/01 03:00",1179.30333,16.87,TRADE
SA1,"1999/08/01 03:30",1117.47,15,TRADE
SA1,"1999/08/01 04:00",1067.43333,11.93,TRADE
SA1,"1999/08/01 04:30",1011.38333,9.48,TRADE
SA1,"1999/08/01 05:00",982.485,9.59,TRADE
SA1,"1999/08/01 05:30",968.61,9.52,TRADE
SA1,"1999/08/01 06:00",965.79667,9.77,TRADE
SA1,"1999/08/01 06:30",979.71,13.07,TRADE
SA1,"1999/08/01 07:00",995.04667,13.39,TRADE
SA1,"1999/08/01 07:30",1002.505,12.7,TRADE
SA1,"1999/08/01 08:00",1005.66667,20.18,TRADE
SA1,"1999/08/01 08:30",1055.59333,26.04,TRADE
SA1,"1999/08/01 09:00",1116.80333,27.57,TRADE
SA1,"1999/08/01 09:30",1155.76,33.95,TRADE
SA1,"1999/08/01 10:00",1177.75333,35.41,TRADE
SA1,"1999/08/01 10:30",1180.03167,32.84,TRADE
SA1,"1999/08/01 11:00",1185.73833,31.93,TRADE
SA1,"1999/08/01 11:30",1179.885,29,TRADE
SA1,"1999/08/01 12:00",1187.9,28.8,TRADE
SA1,"1999/08/01 12:30",1198.78167,26.99,TRADE
SA1,"1999/08/01 13:00",1217.34833,25.03,TRADE
SA1,"1999/08/01 13:30",1212.14667,25.21,TRADE
SA1,"1999/08/01 14:00",1219.95833,26.26,TRADE
SA1,"1999/08/01 14:30",1209.05,22.1,TRADE
SA1,"1999/08/01 15:00",1202.74333,16.3,TRADE
SA1,"1999/08/01 15:30",1213.74333,16.49,TRADE
SA1,"1999/08/01 16:00",1205.43333,17.66,TRADE
SA1,"1999/08/01 16:30",1225.965,20.52,TRADE
SA1,"1999/08/01 17:00",1269.265,27.92,TRADE
SA1,"1999/08/01 17:30",1332.38,119.31,TRADE
SA1,"1999/08/01 18:00",1428.21,99.81,TRADE
SA1,"1999/08/01 18:30",1591.20833,117.24,TRADE
SA1,"1999/08/01 19:00",1669.65333,96.36,TRADE
SA1,"1999/08/01 19:30",1668.62667,81,TRADE
SA1,"1999/08/01 20:00",1642.025,81,TRADE
SA1,"1999/08/01 20:30",1618.815,41.77,TRADE
SA1,"1999/08/01 21:00",1595.16833,41.77,TRADE
SA1,"1999/08/01 21:30",1578.78667,35.61,TRADE
SA1,"1999/08/01 22:00",1530.79,33.94,TRADE
SA1,"1999/08/01 22:30",1482.155,33.94,TRADE
SA1,"1999/08/01 23:00",1481.00333,33.94,TRADE
SA1,"1999/08/01 23:30",1441.33167,35.41,TRADE
SA1,"1999/08/02 00:00",1446.74167,34.65,TRADE
SA1,"1999/08/02 00:30",1478.975,37.83,TRADE
SA1,"1999/08/02 01:00",1528.43167,37.83,TRADE
SA1,"1999/08/02 01:30",1465.40167,33.94,TRADE
SA1,"1999/08/02 02:00",1373.87,33.94,TRADE
SA1,"1999/08/02 02:30",1291.715,112.96,TRADE
SA1,"1999/08/02 03:00",1213.87833,17.54,TRADE
SA1,"1999/08/02 03:30",1144.43,15.6,TRADE
SA1,"1999/08/02 04:00",1105.46333,14.14,TRADE
SA1,"1999/08/02 04:30",1073.29,13.86,TRADE
SA1,"1999/08/02 05:00",1065.17833,13.95,TRADE
SA1,"1999/08/02 05:30",1066.765,15.08,TRADE
SA1,"1999/08/02 06:00",1087.17,16.39,TRADE
SA1,"1999/08/02 06:30",1144.14667,24.13,TRADE
SA1,"1999/08/02 07:00",1247.135,110.8,TRADE
SA1,"1999/08/02 07:30",1391.11,66.09,TRADE
SA1,"1999/08/02 08:00",1507.47333,66.09,TRADE
SA1,"1999/08/02 08:30",1645.655,104.36,TRADE
SA1,"1999/08/02 09:00",1682.72,104.36,TRADE
SA1,"1999/08/02 09:30",1712.65,68.23,TRADE
SA1,"1999/08/02 10:00",1717.9,143.87,TRADE
SA1,"1999/08/02 10:30",1696.22833,38.92,TRADE
SA1,"1999/08/02 11:00",1673.45833,118.97,TRADE
SA1,"1999/08/02 11:30",1655.22167,159,TRADE
SA1,"1999/08/02 12:00",1614.10167,159,TRADE
SA1,"1999/08/02 12:30",1616.86,159,TRADE
SA1,"1999/08/02 13:00",1590.46,61.03,TRADE
SA1,"1999/08/02 13:30",1579.165,41.44,TRADE
SA1,"1999/08/02 14:00",1585.26333,41.44,TRADE
SA1,"1999/08/02 14:30",1590.28833,41.44,TRADE
SA1,"1999/08/02 15:00",1587.23,459.22,TRADE
SA1,"1999/08/02 15:30",1548.64667,38.92,TRADE
SA1,"1999/08/02 16:00",1527.6,38.92,TRADE
SA1,"1999/08/02 16:30",1519.40833,41.44,TRADE
SA1,"1999/08/02 17:00",1506.17333,38.69,TRADE
SA1,"1999/08/02 17:30",1565.17167,40.12,TRADE
SA1,"1999/08/02 18:00",1671.90333,54.73,TRADE
SA1,"1999/08/02 18:30",1831.54333,91.84,TRADE
SA1,"1999/08/02 19:00",1944.73833,100.25,TRADE
SA1,"1999/08/02 19:30",1936.19,86.42,TRADE
SA1,"1999/08/02 20:00",1904.19333,74.3,TRADE
SA1,"1999/08/02 20:30",1864.09333,61.09,TRADE
SA1,"1999/08/02 21:00",1813.06167,42.92,TRADE
SA1,"1999/08/02 21:30",1806.655,117.87,TRADE
SA1,"1999/08/02 22:00",1753.60333,159,TRADE
SA1,"1999/08/02 22:30",1692.90833,75.68,TRADE
SA1,"1999/08/02 23:00",1645.89833,33.98,TRADE
SA1,"1999/08/02 23:30",1568.29167,38.97,TRADE
SA1,"1999/08/03 00:00",1571.63667,38.92,TRADE
SA1,"1999/08/03 00:30",1594.57167,47.56,TRADE
SA1,"1999/08/03 01:00",1636.14667,121.87,TRADE
SA1,"1999/08/03 01:30",1554.43,77.45,TRADE
SA1,"1999/08/03 02:00",1461.285,34.01,TRADE
