REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,"1999/02/01 00:30",1441.87167,41,TRADE
SA1,"1999/02/01 01:00",1462.44333,48.58,TRADE
SA1,"1999/02/01 01:30",1364.42667,24.08,TRADE
SA1,"1999/02/01 02:00",1260.93333,20.38,TRADE
SA1,"1999/02/01 02:30",1197.93833,16.43,TRADE
SA1,"1999/02/01 03:00",1145.905,15.4,TRADE
SA1,"1999/02/01 03:30",1122.46833,14.53,TRADE
SA1,"1999/02/01 04:00",1113.08167,15.13,TRADE
SA1,"1999/02/01 04:30",1118.86667,16.01,TRADE
SA1,"1999/02/01 05:00",1129.16833,16.72,TRADE
SA1,"1999/02/01 05:30",1161.315,19.42,TRADE
SA1,"1999/02/01 06:00",1265.01,23.21,TRADE
SA1,"1999/02/01 06:30",1327.935,44.07,TRADE
SA1,"1999/02/01 07:00",1456.07667,44.5,TRADE
SA1,"1999/02/01 07:30",1557.275,55.24,TRADE
SA1,"1999/02/01 08:00",1624.41,55.25,TRADE
SA1,"1999/02/01 08:30",1687.62,142.62,TRADE
SA1,"1999/02/01 09:00",1761.46833,51,TRADE
SA1,"1999/02/01 09:30",1818.64167,44.51,TRADE
SA1,"1999/02/01 10:00",1860.655,44.51,TRADE
SA1,"1999/02/01 10:30",1919.38,51.02,TRADE
SA1,"1999/02/01 11:00",1975.33,51.01,TRADE
SA1,"1999/02/01 11:30",2043.905,55.25,TRADE
SA1,"1999/02/01 12:00",2033.23833,55.24,TRADE
SA1,"1999/02/01 12:30",2066.38167,64.74,TRADE
SA1,"1999/02/01 13:00",2127.18333,64.74,TRADE
SA1,"1999/02/01 13:30",2178.87333,74.7,TRADE
SA1,"1999/02/01 14:00",2226.70167,74.71,TRADE
SA1,"1999/02/01 14:30",2253.45833,74.71,TRADE
SA1,"1999/02/01 15:00",2249.58,74.71,TRADE
SA1,"1999/02/01 15:30",2281.12167,74.71,TRADE
SA1,"1999/02/01 16:00",2290.87,74.71,TRADE
SA1,"1999/02/01 16:30",2293.405,82.43,TRADE
SA1,"1999/02/01 17:00",2298.59667,89.08,TRADE
SA1,"1999/02/01 17:30",2252.74667,74.7,TRADE
SA1,"1999/02/01 18:00",2168.38833,64.74,TRADE
SA1,"1999/02/01 18:30",2155.445,50.99,TRADE
SA1,"1999/02/01 19:00",2145.79833,50.99,TRADE
SA1,"1999/02/01 19:30",2115.10667,50.99,TRADE
SA1,"1999/02/01 20:00",2088.98667,50.99,TRADE
SA1,"1999/02/01 20:30",2108.09,44.5,TRADE
SA1,"1999/02/01 21:00",2101.02333,141.52,TRADE
SA1,"1999/02/01 21:30",2033.38833,160.92,TRADE
SA1,"1999/02/01 22:00",1942.77,160.92,TRADE
SA1,"1999/02/01 22:30",1826.81667,79.09,TRADE
SA1,"1999/02/01 23:00",1786.16333,38.17,TRADE
SA1,"1999/02/01 23:30",1768.02833,38.17,TRADE
SA1,"1999/02/02 00:00",1801.14833,38.18,TRADE
SA1,"1999/02/02 00:30",1778.66167,38.17,TRADE
SA1,"1999/02/02 01:00",1758.005,38.17,TRADE
SA1,"1999/02/02 01:30",1633.19167,27.2,TRADE
SA1,"1999/02/02 02:00",1525.73667,27.2,TRADE
SA1,"1999/02/02 02:30",1459.00333,27.2,TRADE
SA1,"1999/02/02 03:00",1421.13833,27.2,TRADE
SA1,"1999/02/02 03:30",1408.935,27.2,TRADE
SA1,"1999/02/02 04:00",1408.26167,29.03,TRADE
SA1,"1999/02/02 04:30",1422.96667,29.04,TRADE
SA1,"1999/02/02 05:00",1418.115,17.81,TRADE
SA1,"1999/02/02 05:30",1459.53833,27.2,TRADE
SA1,"1999/02/02 06:00",1533.74,27.2,TRADE
SA1,"1999/02/02 06:30",1595.53333,44.49,TRADE
SA1,"1999/02/02 07:00",1733.55333,44.49,TRADE
SA1,"1999/02/02 07:30",1870.91667,55.24,TRADE
SA1,"1999/02/02 08:00",1952.89833,55.25,TRADE
SA1,"1999/02/02 08:30",2040.55333,50.99,TRADE
SA1,"1999/02/02 09:00",2152.905,50.99,TRADE
SA1,"1999/02/02 09:30",2181.595,44.49,TRADE
SA1,"1999/02/02 10:00",2199.895,44.49,TRADE
SA1,"1999/02/02 10:30",2271.925,50.99,TRADE
SA1,"1999/02/02 11:00",2312.52167,51.01,TRADE
SA1,"1999/02/02 11:30",2349.275,55.25,TRADE
SA1,"1999/02/02 12:00",2357.685,55.25,TRADE
SA1,"1999/02/02 12:30",2371.25667,64.75,TRADE
SA1,"1999/02/02 13:00",2400.695,80.78,TRADE
SA1,"1999/02/02 13:30",2405.66333,160.93,TRADE
SA1,"1999/02/02 14:00",2398.96167,160.93,TRADE
SA1,"1999/02/02 14:30",2367.77333,160.92,TRADE
SA1,"1999/02/02 15:00",2326.57667,132.68,TRADE
SA1,"1999/02/02 15:30",2277.65667,76.91,TRADE
SA1,"1999/02/02 16:00",2259.99833,77.78,TRADE
SA1,"1999/02/02 16:30",2241.215,68.07,TRADE
SA1,"1999/02/02 17:00",2192.52167,68.06,TRADE
SA1,"1999/02/02 17:30",2148.88667,64.74,TRADE
SA1,"1999/02/02 18:00",2037.77667,64.73,TRADE
SA1,"1999/02/02 18:30",1967.78167,50.98,TRADE
SA1,"1999/02/02 19:00",1896.43333,50.98,TRADE
SA1,"1999/02/02 19:30",1871.91167,50.98,TRADE
SA1,"1999/02/02 20:00",1839.85,50.98,TRADE
SA1,"1999/02/02 20:30",1839.53833,44.49,TRADE
SA1,"1999/02/02 21:00",1828.45167,44.49,TRADE
SA1,"1999/02/02 21:30",1793.705,38.17,TRADE
SA1,"1999/02/02 22:00",1743.01667,38.17,TRADE
SA1,"1999/02/02 22:30",1677.845,38.18,TRADE
SA1,"1999/02/02 23:00",1644.20333,38.17,TRADE
SA1,"1999/02/02 23:30",1626.15833,37.35,TRADE
