REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,"1999/07/01 00:30",1561.32,57.69,TRADE
SA1,"1999/07/01 01:00",1597.15167,57.99,TRADE
SA1,"1999/07/01 01:30",1519.55333,54.74,TRADE
SA1,"1999/07/01 02:00",1411.83667,44.36,TRADE
SA1,"1999/07/01 02:30",1317.37,39.72,TRADE
SA1,"1999/07/01 03:00",1240.11167,26.23,TRADE
SA1,"1999/07/01 03:30",1183.55667,24.03,TRADE
SA1,"1999/07/01 04:00",1138.11333,17.1,TRADE
SA1,"1999/07/01 04:30",1086.95667,15.22,TRADE
SA1,"1999/07/01 05:00",1073.845,15.04,TRADE
SA1,"1999/07/01 05:30",1060.845,15.03,TRADE
SA1,"1999/07/01 06:00",1092.11667,24.2,TRADE
SA1,"1999/07/01 06:30",1139.71333,31.49,TRADE
SA1,"1999/07/01 07:00",1227.03667,43.27,TRADE
SA1,"1999/07/01 07:30",1345.44333,30.54,TRADE
SA1,"1999/07/01 08:00",1507.81833,52.13,TRADE
SA1,"1999/07/01 08:30",1585.20667,87.86,TRADE
SA1,"1999/07/01 09:00",1642.16,104.07,TRADE
SA1,"1999/07/01 09:30",1649.895,75.78,TRADE
SA1,"1999/07/01 10:00",1670.97667,75.78,TRADE
SA1,"1999/07/01 10:30",1637.56667,48.5,TRADE
SA1,"1999/07/01 11:00",1611.81,48.5,TRADE
SA1,"1999/07/01 11:30",1613.94333,42.91,TRADE
SA1,"1999/07/01 12:00",1615.475,63.99,TRADE
SA1,"1999/07/01 12:30",1632.13,75.78,TRADE
SA1,"1999/07/01 13:00",1638.64833,84.5,TRADE
SA1,"1999/07/01 13:30",1636.62833,96.75,TRADE
SA1,"1999/07/01 14:00",1652.18667,95.63,TRADE
SA1,"1999/07/01 14:30",1648.89833,86.22,TRADE
SA1,"1999/07/01 15:00",1655.655,122.27,TRADE
SA1,"1999/07/01 15:30",1663.625,115.03,TRADE
SA1,"1999/07/01 16:00",1638.27,147.77,TRADE
SA1,"1999/07/01 16:30",1619.185,125.22,TRADE
SA1,"1999/07/01 17:00",1639.83167,125.22,TRADE
SA1,"1999/07/01 17:30",1678.83333,143.16,TRADE
SA1,"1999/07/01 18:00",1781.14667,55.82,TRADE
SA1,"1999/07/01 18:30",1876.06,93.19,TRADE
SA1,"1999/07/01 19:00",1876.33833,93.21,TRADE
SA1,"1999/07/01 19:30",1835.51833,75.78,TRADE
SA1,"1999/07/01 20:00",1801.90833,75.78,TRADE
SA1,"1999/07/01 20:30",1758.47333,48.77,TRADE
SA1,"1999/07/01 21:00",1720.83667,49.58,TRADE
SA1,"1999/07/01 21:30",1690.965,39.13,TRADE
SA1,"1999/07/01 22:00",1661.145,36.86,TRADE
SA1,"1999/07/01 22:30",1608.71167,55.08,TRADE
SA1,"1999/07/01 23:00",1577.14167,44.94,TRADE
SA1,"1999/07/01 23:30",1528.94,56.28,TRADE
SA1,"1999/07/02 00:00",1548.21667,58.02,TRADE
SA1,"1999/07/02 00:30",1567.72,75.72,TRADE
SA1,"1999/07/02 01:00",1598.07,66.65,TRADE
SA1,"1999/07/02 01:30",1519.57667,56.84,TRADE
SA1,"1999/07/02 02:00",1409.975,53.1,TRADE
SA1,"1999/07/02 02:30",1303.84667,30.76,TRADE
SA1,"1999/07/02 03:00",1219.38,23.87,TRADE
SA1,"1999/07/02 03:30",1166.01833,16.96,TRADE
SA1,"1999/07/02 04:00",1120.03333,15.49,TRADE
SA1,"1999/07/02 04:30",1089.20167,15.21,TRADE
SA1,"1999/07/02 05:00",1065.22167,14.91,TRADE
SA1,"1999/07/02 05:30",1056.00833,14.84,TRADE
SA1,"1999/07/02 06:00",1075.30667,15.25,TRADE
SA1,"1999/07/02 06:30",1115.485,27.56,TRADE
SA1,"1999/07/02 07:00",1216.31333,44.47,TRADE
SA1,"1999/07/02 07:30",1324.11667,37.72,TRADE
SA1,"1999/07/02 08:00",1449.52333,57.54,TRADE
SA1,"1999/07/02 08:30",1561.07333,104.07,TRADE
SA1,"1999/07/02 09:00",1614.80167,104.07,TRADE
SA1,"1999/07/02 09:30",1630.75667,75.78,TRADE
SA1,"1999/07/02 10:00",1652.04833,75.78,TRADE
SA1,"1999/07/02 10:30",1636.87167,48.5,TRADE
SA1,"1999/07/02 11:00",1626.68167,48.5,TRADE
SA1,"1999/07/02 11:30",1613.61,40.42,TRADE
SA1,"1999/07/02 12:00",1602.76333,158.68,TRADE
SA1,"1999/07/02 12:30",1596.44167,158.68,TRADE
SA1,"1999/07/02 13:00",1605.19,158.68,TRADE
SA1,"1999/07/02 13:30",1585.95667,158.68,TRADE
SA1,"1999/07/02 14:00",1611.07667,119.26,TRADE
SA1,"1999/07/02 14:30",1608.605,158.68,TRADE
SA1,"1999/07/02 15:00",1601.18833,158.68,TRADE
SA1,"1999/07/02 15:30",1590.92833,55.71,TRADE
SA1,"1999/07/02 16:00",1570.20333,57.91,TRADE
SA1,"1999/07/02 16:30",1575.07333,86.99,TRADE
SA1,"1999/07/02 17:00",1583.59833,47.4,TRADE
SA1,"1999/07/02 17:30",1636.52833,55.82,TRADE
SA1,"1999/07/02 18:00",1722.045,55.82,TRADE
SA1,"1999/07/02 18:30",1812.55833,93.21,TRADE
SA1,"1999/07/02 19:00",1801.13167,93.21,TRADE
SA1,"1999/07/02 19:30",1760.53333,75.78,TRADE
SA1,"1999/07/02 20:00",1716.245,75.78,TRADE
SA1,"1999/07/02 20:30",1679.81,48.5,TRADE
SA1,"1999/07/02 21:00",1626.55,48.51,TRADE
SA1,"1999/07/02 21:30",1597.42,35.17,TRADE
SA1,"1999/07/02 22:00",1562.04333,35.14,TRADE
SA1,"1999/07/02 22:30",1548.77333,36.87,TRADE
SA1,"1999/07/02 23:00",1552.65167,39.9,TRADE
SA1,"1999/07/02 23:30",1516.27167,55.7,TRADE
SA1,"1999/07/03 00:00",1528.14333,55.88,TRADE
SA1,"1999/07/03 00:30",1555.625,38.68,TRADE
SA1,"1999/07/03 01:00",1550.23,35.1,TRADE
SA1,"1999/07/03 01:30",1467.70167,43.23,TRADE
SA1,"1999/07/03 02:00",1364.92667,37.03,TRADE
SA1,"1999/07/03 02:30",1259.24667,32.36,TRADE
SA1,"1999/07/03 03:00",1189.14333,32.12,TRADE
SA1,"1999/07/03 03:30",1128.60667,26.31,TRADE
SA1,"1999/07/03 04:00",1073.17167,25.17,TRADE
SA1,"1999/07/03 04:30",1030.18333,22.21,TRADE
SA1,"1999/07/03 05:00",1006.87333,19.86,TRADE
SA1,"1999/07/03 05:30",992.245,19.36,TRADE
SA1,"1999/07/03 06:00",985.00667,23.01,TRADE
SA1,"1999/07/03 06:30",1002.49167,24.38,TRADE
SA1,"1999/07/03 07:00",1039.47833,25.07,TRADE
SA1,"1999/07/03 07:30",1064.015,24.4,TRADE
SA1,"1999/07/03 08:00",1107.68333,25.19,TRADE
SA1,"1999/07/03 08:30",1169.37167,36.8,TRADE
SA1,"1999/07/03 09:00",1252.65167,40.31,TRADE
SA1,"1999/07/03 09:30",1296.03667,50.69,TRADE
SA1,"1999/07/03 10:00",1329.99333,50.98,TRADE
SA1,"1999/07/03 10:30",1338.90167,45.34,TRADE
SA1,"1999/07/03 11:00",1319.09167,40.43,TRADE
SA1,"1999/07/03 11:30",1305.56167,39.16,TRADE
SA1,"1999/07/03 12:00",1289.33667,38.91,TRADE
SA1,"1999/07/03 12:30",1281.64167,38.91,TRADE
SA1,"1999/07/03 13:00",1276.23333,38.91,TRADE
SA1,"1999/07/03 13:30",1262.74333,35.44,TRADE
SA1,"1999/07/03 14:00",1260.715,35.37,TRADE
SA1,"1999/07/03 14:30",1253.84833,35.37,TRADE
SA1,"1999/07/03 15:00",1260.455,35.37,TRADE
SA1,"1999/07/03 15:30",1241.15667,31.58,TRADE
SA1,"1999/07/03 16:00",1237.76333,31.58,TRADE
SA1,"1999/07/03 16:30",1245.55,32.75,TRADE
SA1,"1999/07/03 17:00",1278.62833,35.25,TRADE
SA1,"1999/07/03 17:30",1348.58,42.66,TRADE
SA1,"1999/07/03 18:00",1490.43667,47.82,TRADE
SA1,"1999/07/03 18:30",1591.185,87.61,TRADE
SA1,"1999/07/03 19:00",1600.355,104.07,TRADE
SA1,"1999/07/03 19:30",1576.26667,91.44,TRADE
SA1,"1999/07/03 20:00",1537.59333,91.44,TRADE
SA1,"1999/07/03 20:30",1515.36833,36.36,TRADE
SA1,"1999/07/03 21:00",1503.32333,36.37,TRADE
SA1,"1999/07/03 21:30",1485.3,35.37,TRADE
SA1,"1999/07/03 22:00",1467.33,35.52,TRADE
SA1,"1999/07/03 22:30",1453.41,36.37,TRADE
SA1,"1999/07/03 23:00",1463.82833,36.37,TRADE
SA1,"1999/07/03 23:30",1454.23,39.26,TRADE
SA1,"1999/07/04 00:00",1498.67667,38.02,TRADE
SA1,"1999/07/04 00:30",1530.67667,36.37,TRADE
SA1,"1999/07/04 01:00",1574.33667,38.47,TRADE
SA1,"1999/07/04 01:30",1492.335,37.38,TRADE
SA1,"1999/07/04 02:00",1391.225,35.87,TRADE
SA1,"1999/07/04 02:30",1291.48333,101.59,TRADE
SA1,"1999/07/04 03:00",1201.90167,50.1,TRADE
SA1,"1999/07/04 03:30",1132.95167,30.46,TRADE
SA1,"1999/07/04 04:00",1073.06833,20.5,TRADE
SA1,"1999/07/04 04:30",1037.565,17.63,TRADE
SA1,"1999/07/04 05:00",997.76333,13.95,TRADE
SA1,"1999/07/04 05:30",988.62167,13.29,TRADE
SA1,"1999/07/04 06:00",992.27,13,TRADE
SA1,"1999/07/04 06:30",980.63167,13.07,TRADE
SA1,"1999/07/04 07:00",999.54333,14.63,TRADE
SA1,"1999/07/04 07:30",1015.37667,14.33,TRADE
SA1,"1999/07/04 08:00",1019.16667,21.16,TRADE
SA1,"1999/07/04 08:30",1073.53,21.75,TRADE
SA1,"1999/07/04 09:00",1127.63,25.03,TRADE
SA1,"1999/07/04 09:30",1173.95167,30.63,TRADE
SA1,"1999/07/04 10:00",1207.65,34.21,TRADE
SA1,"1999/07/04 10:30",1207.49833,31.59,TRADE
