REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,"1999/05/01 00:30",1486.99167,71.04,TRADE
SA1,"1999/05/01 01:00",1522.95,71.4,TRADE
SA1,"1999/05/01 01:30",1441.09167,37.07,TRADE
SA1,"1999/05/01 02:00",1331.96833,33.92,TRADE
SA1,"1999/05/01 02:30",1231.50667,31.14,TRADE
SA1,"1999/05/01 03:00",1158.63833,31.14,TRADE
SA1,"1999/05/01 03:30",1095.525,23.68,TRADE
SA1,"1999/05/01 04:00",1053.47333,17.61,TRADE
SA1,"1999/05/01 04:30",1017.35167,24.75,TRADE
SA1,"1999/05/01 05:00",1000.67833,21.18,TRADE
SA1,"1999/05/01 05:30",1001.83,20.53,TRADE
SA1,"1999/05/01 06:00",999.51333,19.4,TRADE
SA1,"1999/05/01 06:30",1006.76,22.78,TRADE
SA1,"1999/05/01 07:00",1045.59333,24.75,TRADE
SA1,"1999/05/01 07:30",1073.21,24.75,TRADE
SA1,"1999/05/01 08:00",1117.695,25.02,TRADE
SA1,"1999/05/01 08:30",1175.38,33.35,TRADE
SA1,"1999/05/01 09:00",1248.56167,31.63,TRADE
SA1,"1999/05/01 09:30",1265.90833,40.33,TRADE
SA1,"1999/05/01 10:00",1271.71,39.82,TRADE
SA1,"1999/05/01 10:30",1260.92167,48.89,TRADE
SA1,"1999/05/01 11:00",1248.45667,40.75,TRADE
SA1,"1999/05/01 11:30",1240.55667,39.54,TRADE
SA1,"1999/05/01 12:00",1216.14833,39.44,TRADE
SA1,"1999/05/01 12:30",1220.28167,39.44,TRADE
SA1,"1999/05/01 13:00",1211.14167,38.82,TRADE
SA1,"1999/05/01 13:30",1214.945,33.58,TRADE
SA1,"1999/05/01 14:00",1207.08,28.36,TRADE
SA1,"1999/05/01 14:30",1186.525,27.91,TRADE
SA1,"1999/05/01 15:00",1170.00333,26.65,TRADE
SA1,"1999/05/01 15:30",1159.39333,26.13,TRADE
SA1,"1999/05/01 16:00",1153.66333,24.75,TRADE
SA1,"1999/05/01 16:30",1137.315,32.61,TRADE
SA1,"1999/05/01 17:00",1149.685,30.33,TRADE
SA1,"1999/05/01 17:30",1185.91833,36.36,TRADE
SA1,"1999/05/01 18:00",1273.59,51.47,TRADE
SA1,"1999/05/01 18:30",1435.45833,58.17,TRADE
SA1,"1999/05/01 19:00",1528.13667,69.91,TRADE
SA1,"1999/05/01 19:30",1501.36667,53.25,TRADE
SA1,"1999/05/01 20:00",1465.14,53.12,TRADE
SA1,"1999/05/01 20:30",1441.755,39.44,TRADE
SA1,"1999/05/01 21:00",1420.17667,39.44,TRADE
SA1,"1999/05/01 21:30",1399.94833,35.81,TRADE
SA1,"1999/05/01 22:00",1370.60333,35.81,TRADE
SA1,"1999/05/01 22:30",1350.74,39.44,TRADE
SA1,"1999/05/01 23:00",1375.99833,39.44,TRADE
SA1,"1999/05/01 23:30",1372.79,53.12,TRADE
SA1,"1999/05/02 00:00",1406.66,53.12,TRADE
SA1,"1999/05/02 00:30",1450.24833,69.9,TRADE
SA1,"1999/05/02 01:00",1503.835,69.9,TRADE
SA1,"1999/05/02 01:30",1421.37167,53.12,TRADE
