REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,"1999/06/01 00:30",1464.43167,62.37,TRADE
SA1,"1999/06/01 01:00",1518.975,62.37,TRADE
SA1,"1999/06/01 01:30",1448.73167,47.4,TRADE
SA1,"1999/06/01 02:00",1355.875,43.61,TRADE
SA1,"1999/06/01 02:30",1274.32333,24.66,TRADE
SA1,"1999/06/01 03:00",1191.94167,24.66,TRADE
SA1,"1999/06/01 03:30",1132.7,24.66,TRADE
SA1,"1999/06/01 04:00",1086.31,24.66,TRADE
SA1,"1999/06/01 04:30",1058.65333,19.55,TRADE
SA1,"1999/06/01 05:00",1044.21167,17.91,TRADE
SA1,"1999/06/01 05:30",1038.89833,17.4,TRADE
SA1,"1999/06/01 06:00",1043.69667,20.5,TRADE
SA1,"1999/06/01 06:30",1110.59667,25.85,TRADE
SA1,"1999/06/01 07:00",1205.66833,27.14,TRADE
SA1,"1999/06/01 07:30",1313.90667,30.01,TRADE
SA1,"1999/06/01 08:00",1416.83333,40.14,TRADE
SA1,"1999/06/01 08:30",1508.395,65.54,TRADE
SA1,"1999/06/01 09:00",1547.45833,88.25,TRADE
SA1,"1999/06/01 09:30",1544.86167,54.94,TRADE
SA1,"1999/06/01 10:00",1535.83,53.17,TRADE
SA1,"1999/06/01 10:30",1511.21,39.44,TRADE
SA1,"1999/06/01 11:00",1481.77,42.68,TRADE
SA1,"1999/06/01 11:30",1481.06667,40.73,TRADE
SA1,"1999/06/01 12:00",1465.895,35.7,TRADE
SA1,"1999/06/01 12:30",1454.71333,33.98,TRADE
SA1,"1999/06/01 13:00",1454.50833,29.53,TRADE
SA1,"1999/06/01 13:30",1458.75333,34.23,TRADE
SA1,"1999/06/01 14:00",1471.28,35.68,TRADE
SA1,"1999/06/01 14:30",1483.30833,36.48,TRADE
SA1,"1999/06/01 15:00",1481.71833,31.51,TRADE
SA1,"1999/06/01 15:30",1479.35,29.22,TRADE
SA1,"1999/06/01 16:00",1452.68667,24.57,TRADE
SA1,"1999/06/01 16:30",1455.48167,22.06,TRADE
SA1,"1999/06/01 17:00",1473.67167,31.39,TRADE
SA1,"1999/06/01 17:30",1523.19167,43.95,TRADE
SA1,"1999/06/01 18:00",1663.135,45.86,TRADE
SA1,"1999/06/01 18:30",1749.415,49.42,TRADE
SA1,"1999/06/01 19:00",1745.64333,46.12,TRADE
SA1,"1999/06/01 19:30",1700.38833,39.65,TRADE
SA1,"1999/06/01 20:00",1660.22833,40.54,TRADE
SA1,"1999/06/01 20:30",1652.22833,42.87,TRADE
SA1,"1999/06/01 21:00",1627.17167,42.87,TRADE
SA1,"1999/06/01 21:30",1574.30833,38.7,TRADE
SA1,"1999/06/01 22:00",1556.72833,38.08,TRADE
SA1,"1999/06/01 22:30",1521.87,29.37,TRADE
SA1,"1999/06/01 23:00",1494.25333,27.89,TRADE
SA1,"1999/06/01 23:30",1448.84167,36.67,TRADE
SA1,"1999/06/02 00:00",1456.635,30.49,TRADE
SA1,"1999/06/02 00:30",1476.27667,30.24,TRADE
SA1,"1999/06/02 01:00",1527.95333,42.58,TRADE
SA1,"1999/06/02 01:30",1441.59,40.05,TRADE
SA1,"1999/06/02 02:00",1349.89833,31.38,TRADE
SA1,"1999/06/02 02:30",1256.165,27.79,TRADE
SA1,"1999/06/02 03:00",1188.96167,19.78,TRADE
SA1,"1999/06/02 03:30",1127.365,15.68,TRADE
SA1,"1999/06/02 04:00",1088.09,12.01,TRADE
SA1,"1999/06/02 04:30",1060.005,12.77,TRADE
