REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,"1999/03/01 00:30",1495.49667,41.65,TRADE
SA1,"1999/03/01 01:00",1496.61667,41.65,TRADE
SA1,"1999/03/01 01:30",1401.73,31.69,TRADE
SA1,"1999/03/01 02:00",1310.77167,31.69,TRADE
SA1,"1999/03/01 02:30",1260.25667,24.81,TRADE
SA1,"1999/03/01 03:00",1213.60833,24.81,TRADE
SA1,"1999/03/01 03:30",1191.03833,48.45,TRADE
SA1,"1999/03/01 04:00",1191.78667,160.94,TRADE
SA1,"1999/03/01 04:30",1205.88667,62.26,TRADE
SA1,"1999/03/01 05:00",1202.28167,24.32,TRADE
SA1,"1999/03/01 05:30",1237.84333,22.84,TRADE
SA1,"1999/03/01 06:00",1337.455,24.91,TRADE
SA1,"1999/03/01 06:30",1409.72667,36.7,TRADE
SA1,"1999/03/01 07:00",1529.87167,47.26,TRADE
SA1,"1999/03/01 07:30",1623.54167,60.31,TRADE
SA1,"1999/03/01 08:00",1671.94667,60.31,TRADE
SA1,"1999/03/01 08:30",1759.69167,44.18,TRADE
SA1,"1999/03/01 09:00",1831.28333,44.18,TRADE
SA1,"1999/03/01 09:30",1863.05667,42.04,TRADE
SA1,"1999/03/01 10:00",1924.44,42.08,TRADE
SA1,"1999/03/01 10:30",1956.45333,44.22,TRADE
SA1,"1999/03/01 11:00",2013.97,44.45,TRADE
SA1,"1999/03/01 11:30",2053.815,50.02,TRADE
SA1,"1999/03/01 12:00",2069.18167,62.4,TRADE
SA1,"1999/03/01 12:30",2106.31167,56.44,TRADE
SA1,"1999/03/01 13:00",2173.58333,56.66,TRADE
SA1,"1999/03/01 13:30",2208.38,60.52,TRADE
SA1,"1999/03/01 14:00",2240.765,60.55,TRADE
SA1,"1999/03/01 14:30",2269.45167,95.16,TRADE
SA1,"1999/03/01 15:00",2269.685,62.56,TRADE
SA1,"1999/03/01 15:30",2281.79,60.6,TRADE
SA1,"1999/03/01 16:00",2243.525,60.44,TRADE
SA1,"1999/03/01 16:30",2256.03167,60.51,TRADE
SA1,"1999/03/01 17:00",2264.97667,1285.48,TRADE
SA1,"1999/03/01 17:30",2182.48167,606.76,TRADE
SA1,"1999/03/01 18:00",2108.44167,51.59,TRADE
SA1,"1999/03/01 18:30",2039.23667,34.72,TRADE
SA1,"1999/03/01 19:00",1933.17667,37.72,TRADE
SA1,"1999/03/01 19:30",1862.52833,42.06,TRADE
