REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,"1999/01/01 00:30",1344.58,36.01,TRADE
SA1,"1999/01/01 01:00",1366.41833,35.7,TRADE
SA1,"1999/01/01 01:30",1270.48,31.67,TRADE
SA1,"1999/01/01 02:00",1160.09,22.42,TRADE
SA1,"1999/01/01 02:30",1083.95333,21.38,TRADE
SA1,"1999/01/01 03:00",1023.72333,16.9,TRADE
SA1,"1999/01/01 03:30",1002.56167,15.66,TRADE
SA1,"1999/01/01 04:00",976.63667,15.19,TRADE
SA1,"1999/01/01 04:30",959.94333,14.97,TRADE
SA1,"1999/01/01 05:00",949.74833,12.77,TRADE
SA1,"1999/01/01 05:30",928.905,8.9,TRADE
SA1,"1999/01/01 06:00",912.58167,8.79,TRADE
SA1,"1999/01/01 06:30",912.49667,10.14,TRADE
SA1,"1999/01/01 07:00",933.12,11.89,TRADE
SA1,"1999/01/01 07:30",948.20167,8.71,TRADE
SA1,"1999/01/01 08:00",965.36667,9,TRADE
SA1,"1999/01/01 08:30",1004.40167,12.14,TRADE
SA1,"1999/01/01 09:00",1061.24,12.26,TRADE
SA1,"1999/01/01 09:30",1117.19833,14.07,TRADE
SA1,"1999/01/01 10:00",1169.04833,16.34,TRADE
SA1,"1999/01/01 10:30",1207.57,17.04,TRADE
SA1,"1999/01/01 11:00",1262.395,21.95,TRADE
SA1,"1999/01/01 11:30",1318.29333,25.97,TRADE
SA1,"1999/01/01 12:00",1353.99833,25.95,TRADE
SA1,"1999/01/01 12:30",1372.50667,25.97,TRADE
SA1,"1999/01/01 13:00",1426.05333,26,TRADE
SA1,"1999/01/01 13:30",1440.11,31.7,TRADE
SA1,"1999/01/01 14:00",1476.62333,31.75,TRADE
SA1,"1999/01/01 14:30",1479.65333,34.87,TRADE
SA1,"1999/01/01 15:00",1505.02833,34.87,TRADE
SA1,"1999/01/01 15:30",1538.13333,34.89,TRADE
SA1,"1999/01/01 16:00",1539.15167,34.98,TRADE
SA1,"1999/01/01 16:30",1554.26167,32.41,TRADE
SA1,"1999/01/01 17:00",1571.65167,32.45,TRADE
SA1,"1999/01/01 17:30",1591.475,32.05,TRADE
SA1,"1999/01/01 18:00",1580.61667,31.82,TRADE
SA1,"1999/01/01 18:30",1582.16,2335.49,TRADE
SA1,"1999/01/01 19:00",1577.385,2335.5,TRADE
SA1,"1999/01/01 19:30",1569.36667,24.66,TRADE
SA1,"1999/01/01 20:00",1510.525,24.52,TRADE
SA1,"1999/01/01 20:30",1513.84833,24.46,TRADE
SA1,"1999/01/01 21:00",1529.22667,27.43,TRADE
SA1,"1999/01/01 21:30",1494.19833,24.46,TRADE
SA1,"1999/01/01 22:00",1450.38833,24.44,TRADE
SA1,"1999/01/01 22:30",1388.62667,23.49,TRADE
SA1,"1999/01/01 23:00",1384.17333,24.43,TRADE
SA1,"1999/01/01 23:30",1385.34667,28.78,TRADE
SA1,"1999/01/02 00:00",1414.37333,26.6,TRADE
