REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,"1999/09/01 00:30",1469.88333,47.51,TRADE
SA1,"1999/09/01 01:00",1518.37167,47.51,TRADE
SA1,"1999/09/01 01:30",1437.41333,31.07,TRADE
SA1,"1999/09/01 02:00",1362.60667,33.86,TRADE
SA1,"1999/09/01 02:30",1249.52833,41.87,TRADE
SA1,"1999/09/01 03:00",1179.07333,18.98,TRADE
SA1,"1999/09/01 03:30",1128.06833,15.25,TRADE
SA1,"1999/09/01 04:00",1087.48167,11.7,TRADE
SA1,"1999/09/01 04:30",1068.01,11.5,TRADE
SA1,"1999/09/01 05:00",1055.36,10.41,TRADE
SA1,"1999/09/01 05:30",1060.27167,13.79,TRADE
SA1,"1999/09/01 06:00",1080.67833,14.1,TRADE
SA1,"1999/09/01 06:30",1118.70167,19.09,TRADE
SA1,"1999/09/01 07:00",1207.58167,27.4,TRADE
SA1,"1999/09/01 07:30",1288.13167,44.58,TRADE
SA1,"1999/09/01 08:00",1377.10833,44.58,TRADE
SA1,"1999/09/01 08:30",1448.17667,86.78,TRADE
SA1,"1999/09/01 09:00",1477.63667,86.78,TRADE
SA1,"1999/09/01 09:30",1471.285,43.4,TRADE
SA1,"1999/09/01 10:00",1486.89833,43.4,TRADE
SA1,"1999/09/01 10:30",1452.965,36.55,TRADE
SA1,"1999/09/01 11:00",1442.06667,72.42,TRADE
SA1,"1999/09/01 11:30",1445.50833,108.28,TRADE
SA1,"1999/09/01 12:00",1446.87667,36.55,TRADE
SA1,"1999/09/01 12:30",1453.89833,36.55,TRADE
SA1,"1999/09/01 13:00",1438.108,36.55,TRADE
SA1,"1999/09/01 13:30",1442.01333,36.55,TRADE
SA1,"1999/09/01 14:00",1455.26,36.55,TRADE
SA1,"1999/09/01 14:30",1459.92,33.71,TRADE
SA1,"1999/09/01 15:00",1464.23167,33.71,TRADE
SA1,"1999/09/01 15:30",1533.31333,33.71,TRADE
SA1,"1999/09/01 16:00",1445.175,33.71,TRADE
SA1,"1999/09/01 16:30",1439.11833,36.55,TRADE
SA1,"1999/09/01 17:00",1421.42167,36.55,TRADE
SA1,"1999/09/01 17:30",1426.96667,36.55,TRADE
SA1,"1999/09/01 18:00",1445.71333,36.55,TRADE
SA1,"1999/09/01 18:30",1492.32667,50.54,TRADE
SA1,"1999/09/01 19:00",1572.71167,50.54,TRADE
SA1,"1999/09/01 19:30",1601.68667,60.65,TRADE
SA1,"1999/09/01 20:00",1574.615,60.65,TRADE
SA1,"1999/09/01 20:30",1545.52333,50.54,TRADE
SA1,"1999/09/01 21:00",1517.63333,50.54,TRADE
SA1,"1999/09/01 21:30",1479.36,36.55,TRADE
SA1,"1999/09/01 22:00",1458.35333,36.55,TRADE
SA1,"1999/09/01 22:30",1440.54833,36.55,TRADE
SA1,"1999/09/01 23:00",1438.23667,36.55,TRADE
SA1,"1999/09/01 23:30",1420.085,36.55,TRADE
SA1,"1999/09/02 00:00",1435.21667,36.55,TRADE
SA1,"1999/09/02 00:30",1461.45833,50.54,TRADE
SA1,"1999/09/02 01:00",1517.84167,50.54,TRADE
SA1,"1999/09/02 01:30",1436.36333,33.55,TRADE
SA1,"1999/09/02 02:00",1331.93833,33.71,TRADE
SA1,"1999/09/02 02:30",1249.91167,64.37,TRADE
SA1,"1999/09/02 03:00",1174.96167,26.62,TRADE
SA1,"1999/09/02 03:30",1120.38833,27.11,TRADE
SA1,"1999/09/02 04:00",1079.49,18.1,TRADE
SA1,"1999/09/02 04:30",1049.32167,15.43,TRADE
SA1,"1999/09/02 05:00",1051.20833,15.37,TRADE
SA1,"1999/09/02 05:30",1061.32833,16.85,TRADE
SA1,"1999/09/02 06:00",1079.98333,20.59,TRADE
SA1,"1999/09/02 06:30",1124.30333,34.49,TRADE
SA1,"1999/09/02 07:00",1216.83833,91.97,TRADE
SA1,"1999/09/02 07:30",1300.905,44.58,TRADE
SA1,"1999/09/02 08:00",1383.78833,44.58,TRADE
SA1,"1999/09/02 08:30",1455.64833,86.78,TRADE
SA1,"1999/09/02 09:00",1469.80333,86.78,TRADE
SA1,"1999/09/02 09:30",1468.63167,43.4,TRADE
SA1,"1999/09/02 10:00",1475.055,43.4,TRADE
SA1,"1999/09/02 10:30",1456.39833,36.55,TRADE
SA1,"1999/09/02 11:00",1457.18,36.55,TRADE
